"Country Name","Country Code","Indicator Name","Indicator Code","yr1960","yr1961","yr1962","yr1963","yr1964","yr1965","yr1966","yr1967","yr1968","yr1969","yr1970","yr1971","yr1972","yr1973","yr1974","yr1975","yr1976","yr1977","yr1978","yr1979","yr1980","yr1981","yr1982","yr1983","yr1984","yr1985","yr1986","yr1987","yr1988","yr1989","yr1990","yr1991","yr1992","yr1993","yr1994","yr1995","yr1996","yr1997","yr1998","yr1999","yr2000","yr2001","yr2002","yr2003","yr2004","yr2005","yr2006","yr2007","yr2008","yr2009","yr2010","yr2011","yr2012","yr2013","yr2014",
"Aruba","ABW","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17342.4719395745","16441.3812596351","16586.1922970903","17927.4120263906","19081.570288414","19356.4208651472","20619.5658496388","20671.545738502","20433.6541088167","20834.9397101237","22566.6821576324","23302.8319880055","24015.4206122701","25921.2821405392","27549.3457319106","24639.9353260156","24289.1415161326","25354.7824741086","","","",
"Andorra","AND","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","3238.08930857635","3497.91312652628","4217.40041168169","5343.12277676194","6320.97187804694","7168.39870956809","7151.57376813729","7751.169371822","9127.61169904434","11819.6457899758","12377.7138585391","10372.3271798169","9611.23805783753","8023.34562682223","7729.32336402426","7775.02750730729","10362.1677498842","12615.0521783631","14305.2096423903","15166.912581061","18876.7301903679","19530.8420614121","20541.7731272609","16508.8749149607","16226.9701802536","18460.0066061368","19043.8352940747","18421.6888284091","18996.441222614","19347.1110672469","17334.2756700025","18599.4153888345","20326.9001004177","25355.2671797143","29372.1667374519","31268.9667449795","34484.7008637747","39922.8901210414","46418.4154673278","","","","","","",
"Afghanistan","AFG","GDP per capita (current US$)","NY.GDP.PCAP.CD","61.2891320598364","61.3040930583217","59.798693323222","80.4230020659073","83.7948118142624","103.089103111692","140.138383240116","163.700788626879","131.221435925562","131.313621224771","158.764230928666","161.709515997947","137.023687562771","144.8505998375","175.625523933274","188.552120093363","199.546613632383","226.578885405814","250.007640997592","278.939778294497","276.29775135459","268.346559648938","","","","","","","","","","","","","","","","","","","","115.312509504906","185.959290112028","198.287799133658","220.056287823678","252.407892506985","275.350940871813","373.591416247314","376.977669874349","450.659239024815","561.19761752152","613.979191608832","687.581367719798","664.764589155526","",
"Angola","AGO","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","750.72195699464","681.908459808887","772.210507796565","813.960940959841","923.5829011715","992.872870993658","1144.6596373566","525.267782110467","464.784342594799","345.670001159259","416.321558518182","604.439435406847","597.931781354203","490.582014859874","455.41394581715","655.629494626364","621.195930088502","839.504512062903","920.101175818694","1229.34298758996","1706.54362145176","2440.63164194674","3412.71880659659","4596.2682746015","3988.6834977624","4218.64912557379","5159.23387704946","5539.80072430577","5783.36675958641","",
"Albania","ALB","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","662.520052309054","662.914792567128","719.157295703914","699.384292086697","676.566732520011","723.409610237851","639.463899289892","348.711327024676","218.492162347986","380.527371084275","619.064922738647","760.559358246866","951.132091437492","697.594564685119","871.893653940417","1104.74355302782","1193.46622313098","1335.14100801162","1458.12875591696","1863.20383465362","2476.11588556194","2798.94951687545","3076.97841693715","3638.71070023197","4422.6927275478","4175.77767865027","4175.12163787343","4556.14398095853","4406.11533863479","4659.34060121489","",
"Arab World","ARB","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","219.770456121539","235.815754282114","250.488642921233","283.248047195142","328.692870442334","406.804635078943","758.562998299769","817.393646819572","987.361287760317","1102.24447862286","1179.93280925045","1541.24270686038","2031.55617668762","2027.453299787","1832.99519201058","1668.70037275206","1643.09668062749","1576.15659651285","1458.15664025557","1534.87795836934","1468.68742200848","1500.16019765564","2003.98807066821","1920.27176853038","2021.38094260663","1993.52388708336","1990.61953644795","2076.0083285589","2244.60803746238","2332.13534475938","2204.17253413464","2332.06434216217","2615.68275104314","2515.07786947657","2499.33542907769","2754.30498533827","3168.18642604039","3796.02180432683","4414.09339806809","5046.8170582622","6255.76115611177","5267.55256330243","6032.96195685802","7005.47954059534","7571.40240297227","7715.99867662883","",
"United Arab Emirates","ARE","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","27631.8985401645","30817.2633828884","34371.4628949095","28742.855354213","33716.7240835592","42961.8382150634","45232.6335281834","40339.2718734664","35218.0579741799","32731.507235934","30138.8863490181","23788.110756089","24019.6440095658","22543.0962331629","24289.9421357646","28066.149918578","27018.926378943","26944.7548737053","26224.1490533804","26568.4899320413","28020.0854141076","29776.1600121965","30218.1755039743","27482.9828984103","29183.0504343053","34476.2854230194","32984.7423721857","34062.4257350159","36906.1998942909","40403.988167934","43533.8917822307","45554.2194039788","44488.649858533","46402.6447688597","32850.0874977506","33885.9254421301","38930.0081813523","40444.0669873913","43048.8501491565","",
"Argentina","ARG","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","1148.16961298053","844.725024008369","1165.78516387942","1271.41556636899","1265.77734467379","1057.32806804985","1136.12592453378","1323.70790453585","1317.1869889513","1366.1180737277","1401.32489153958","2083.81188288541","2824.42766599272","2011.42143698411","1932.10310707553","2111.62136272167","2128.11608256583","2499.95664312636","2736.89737769562","2755.74442766573","2908.25092853875","3532.45047283574","2646.40665946183","2914.15451119049","3602.1791828324","3554.87780310803","3979.63712639717","2382.21723574934","4332.65638710793","5736.02046500778","6824.99708518771","6971.14224546288","9065.64952417841","8973.32134705635","9348.64240004061","9939.75327464142","10028.8119345958","9405.79035627379","9329.11375631733","8732.46606336359","3285.02617081803","4134.50204034966","4784.69189282461","5767.65701197619","6783.71397468985","8384.18771228171","10232.9590809902","9456.81631365564","11460.3761475933","13693.7037865724","14679.9252351628","14715.1800198309","",
"Armenia","ARM","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","636.680689996499","589.002948223927","368.916836793393","356.507351442189","399.751202522265","455.550276086151","503.231969620213","522.522072040184","608.336648730809","596.505996304047","621.424826318947","692.318825533253","779.89284168496","924.582154829345","1182.09735964882","1625.39690429443","2126.0895659071","3079.15218740947","3916.7381073829","2913.57414338577","3124.78485412504","3421.70450924607","3353.97312513123","3504.76675848947","",
"American Samoa","ASM","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
